CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
Belarus,BLR,1965,76.1
Belize,BLZ,1965,15.72
Benin,BEN,1965,19.56
Bermuda,BMU,1965,96.59
Bhutan,BTN,1965,32.39
Bolivia,BOL,1965,25.98
Bosnia and Herzegovina,BIH,1965,58.4
Botswana,BWA,1965,51.62
Brazil,BRA,1965,29.29
Brunei Darussalam,BRN,1965,62.93
Bulgaria,BGR,1965,145.79
Burkina Faso,BFA,1965,20.23
Burundi,BDI,1965,60.02
Cabo Verde,CPV,1965,57.06
Cambodia,KHM,1965,49.15
Cameroon,CMR,1965,29.7
Canada,CAN,1965,42.59
Cayman Islands,CYM,1965,143.6
Chad,TCD,1965,38.52
Chile,CHL,1965,28.56
China,CHN,1965,22.82
Colombia,COL,1965,35.26
Comoros,COM,1965,46.75
"Congo, Dem. Rep.",ZAR,1965,62.95
"Congo, Rep.",COG,1965,48.21
Costa Rica,CRI,1965,19.96
Cote d'Ivoire,CIV,1965,22.32
Croatia,HRV,1965,102.4
Cuba,CUB,1965,78.85
Cyprus,CYP,1965,126.61
Czech Republic,CZE,1965,97.1
Denmark,DNK,1965,61.52
Djibouti,DJI,1965,3.8
Dominica,DMA,1965,119.26
Dominican Republic,DOM,1965,64.47
Ecuador,ECU,1965,56.41
"Egypt, Arab Rep.",EGY,1965,28.63
El Salvador,SLV,1965,77.58
Equatorial Guinea,GNQ,1965,139.39
Eritrea,ERI,1965,87.3
Estonia,EST,1965,106.4
Ethiopia,ETH,1965,59.4
Faeroe Islands,FRO,1965,116.97
Fiji,FJI,1965,79.55
Finland,FIN,1965,70.28
France,FRA,1965,80.02
French Polynesia,PYF,1965,124.14
Gabon,GAB,1965,33.34
"Gambia, The",GMB,1965,79.31
Georgia,GEO,1965,151.2
Germany,DEU,1965,79.72
Ghana,GHA,1965,28.51
Greece,GRC,1965,52.31
Grenada,GRD,1965,168.91
Guam,GUM,1965,30.52
Guatemala,GTM,1965,26.56
Guinea,GIN,1965,34.11
Guinea-Bissau,GNB,1965,34.35
Guyana,GUY,1965,73.24
Haiti,HTI,1965,84.97
Honduras,HND,1965,36.53
"Hong Kong SAR, China",HKG,1965,221.45
Hungary,HUN,1965,60.34
Iceland,ISL,1965,58.12
